Sample_name;Sample_type;Category;Richness; log_pop_sample ;Unity
CS8.C.g5;Soaked_seed;8C;8; 7.35024801833416 ;log(UFC)/sample
CS8.C.g6;Soaked_seed;8C;8; 6.29225607135648 ;log(UFC)/sample
CS8.C.g7;Soaked_seed;8C;8; 7.24551266781415 ;log(UFC)/sample
CS8.C.g8;Soaked_seed;8C;8; 7.01703333929878 ;log(UFC)/sample
CS11.A.g1;Soaked_seed;11A;11; 6.24551266781415 ;log(UFC)/sample
CS11.A.g2;Soaked_seed;11A;11; 5.80617997398389 ;log(UFC)/sample
CS11.A.g3;Soaked_seed;11A;11; 6.66275783168157 ;log(UFC)/sample
CS11.A.g4;Soaked_seed;11A;11; 6.83250891270624 ;log(UFC)/sample
CS11.A.g5;Soaked_seed;11A;11; 6.7481880270062 ;log(UFC)/sample
CS11.A.g6;Soaked_seed;11A;11; 6.64345267648619 ;log(UFC)/sample
CS11.A.g7;Soaked_seed;11A;11; 7.03342375548695 ;log(UFC)/sample
CS11.A.g8;Soaked_seed;11A;11; 6.59769518592551 ;log(UFC)/sample
CS11.B.g1;Soaked_seed;11B;11; 6.88081359228079 ;log(UFC)/sample
CS11.B.g2;Soaked_seed;11B;11; 6.53147891704226 ;log(UFC)/sample
CS11.B.g3;Soaked_seed;11B;11; 6.88081359228079 ;log(UFC)/sample
CS11.B.g4;Soaked_seed;11B;11; 6.83250891270624 ;log(UFC)/sample
CS11.B.g5;Soaked_seed;11B;11; 7.72263392253381 ;log(UFC)/sample
CS11.B.g6;Soaked_seed;11B;11; 7.07918124604763 ;log(UFC)/sample
CS11.B.g7;Soaked_seed;11B;11; 7.39445168082622 ;log(UFC)/sample
CS11.B.g8;Soaked_seed;11B;11; 7.64345267648619 ;log(UFC)/sample
CS11.C.g1;Soaked_seed;11C;11; 7.7160033436348 ;log(UFC)/sample
CS11.C.g2;Soaked_seed;11C;11; 7.7160033436348 ;log(UFC)/sample
CS11.C.g3;Soaked_seed;11C;11; 6.88081359228079 ;log(UFC)/sample
CS11.C.g4;Soaked_seed;11C;11; 8.03342375548695 ;log(UFC)/sample
CS11.C.g5;Soaked_seed;11C;11; 7.96378782734556 ;log(UFC)/sample
