REP_Bio;Concentration;Maceration;Desinfection;Inoc_fluid; Rep_tech ;Pop_sample;Log_CFU_sample
2;C6;Single_seed;Unsterilized;Water;7;3E+06;6.47129171105894
2;C6;Single_seed;Unsterilized;Water;8;4E+06;6.59769518592551
2;C6;Single_seed;Unsterilized;Water;9;3E+06;6.40140054078154
2;C6;Single_seed;Unsterilized;Water;10;4E+06;6.64345267648619
2;C6;Single_seed;Unsterilized;Water;11;1E+07;7.0
2;C6;Single_seed;Unsterilized;Water;12;3E+06;6.40823996531185
2;C6;Single_seed;Unsterilized;Alginate;1;6E+07;7.79518458968242
2;C6;Single_seed;Unsterilized;Alginate;2;6E+07;7.77815125038364
2;C6;Single_seed;Unsterilized;Alginate;3;2E+07;7.38021124171161
2;C6;Single_seed;Unsterilized;Alginate;4;6E+06;6.80617997398389
2;C6;Single_seed;Unsterilized;Alginate;5;4E+06;6.55630250076729
2;C6;Single_seed;Unsterilized;Alginate;6;4E+06;6.61489721603313
2;C6;Single_seed;Unsterilized;Alginate;7;5E+06;6.73559889969818
2;C6;Single_seed;Unsterilized;Alginate;8;5E+06;6.65513843481138
2;C6;Single_seed;Unsterilized;Alginate;9;4E+06;6.63144376901317
2;C6;Single_seed;Unsterilized;Alginate;10;1E+07;7.03342375548695
2;C6;Single_seed;Unsterilized;Alginate;11;8E+06;6.88081359228079
2;C6;Single_seed;Unsterilized;Alginate;12;2E+06;6.35793484700045
2;C6;Single_seed;Sterilized;Water;1;8E+06;6.88081359228079
2;C6;Single_seed;Sterilized;Water;2;4E+06;6.57518784492766
2;C6;Single_seed;Sterilized;Water;3;1E+07;7.07918124604763
2;C6;Single_seed;Sterilized;Water;4;9E+05;5.96378782734556
2;C6;Single_seed;Sterilized;Water;5;7E+06;6.85733249643127
2;C6;Single_seed;Sterilized;Water;6;2E+06;6.34242268082221
2;C6;Single_seed;Sterilized;Water;7;5E+06;6.66275783168157
2;C6;Single_seed;Sterilized;Water;8;3E+06;6.46538285144842
2;C6;Single_seed;Sterilized;Water;9;2E+06;6.39445168082622
2;C6;Single_seed;Sterilized;Water;10;8E+06;6.92427928606188
2;C6;Single_seed;Sterilized;Water;11;3E+06;6.46538285144842
2;C6;Single_seed;Sterilized;Water;12;4E+05;5.59328606702046
2;C6;Single_seed;Sterilized;Alginate;1;8E+06;6.88081359228079
2;C6;Single_seed;Sterilized;Alginate;2;8E+06;6.92427928606188
2;C6;Single_seed;Sterilized;Alginate;3;5E+07;7.66651798055488
2;C6;Single_seed;Sterilized;Alginate;4;8E+06;6.88309335857569
2;C6;Single_seed;Sterilized;Alginate;5;3E+06;6.53655844257153
2;C6;Single_seed;Sterilized;Alginate;6;5E+06;6.65513843481138
2;C6;Single_seed;Sterilized;Alginate;7;9E+06;6.9304395947667
2;C6;Single_seed;Sterilized;Alginate;8;5E+06;6.6954816764902
2;C6;Single_seed;Sterilized;Alginate;9;6E+06;6.80071707828238
2;C6;Single_seed;Sterilized;Alginate;10;9E+06;6.95424250943933
2;C6;Single_seed;Sterilized;Alginate;11;7E+06;6.85733249643127
2;C6;Single_seed;Sterilized;Alginate;12;1E+06;6.14612803567824
2;C7;Single_seed;Unsterilized;Water;1;4E+07;7.61489721603313
2;C7;Single_seed;Unsterilized;Water;2;4E+07;7.57978359661681
2;C7;Single_seed;Unsterilized;Water;3;4E+07;7.54654266347813
2;C7;Single_seed;Unsterilized;Water;4;4E+07;7.57518784492766
2;C7;Single_seed;Unsterilized;Water;5;5E+07;7.67024585307412
2;C7;Single_seed;Unsterilized;Water;6;4E+07;7.63548374681491
2;C7;Single_seed;Unsterilized;Water;7;4E+07;7.59769518592551
2;C7;Single_seed;Unsterilized;Water;8;3E+07;7.45331834004704
2;C7;Single_seed;Unsterilized;Water;9;6E+07;7.77815125038364
2;C7;Single_seed;Unsterilized;Water;10;6E+07;7.7481880270062
2;C7;Single_seed;Unsterilized;Water;11;5E+07;7.7160033436348
2;C7;Single_seed;Unsterilized;Water;12;4E+07;7.65127801399814
2;C7;Single_seed;Sterilized;Water;1;6E+07;7.78958071216443
2;C7;Single_seed;Sterilized;Water;2;6E+07;7.76042248342321
2;C7;Single_seed;Sterilized;Water;3;6E+07;7.78675142214556
2;C7;Single_seed;Sterilized;Water;4;4E+07;7.59769518592551
2;C7;Single_seed;Sterilized;Water;5;5E+07;7.72591163229505
2;C7;Single_seed;Sterilized;Water;6;1E+08;8.03181227133037
2;C7;Single_seed;Sterilized;Water;7;6E+07;7.81157500587059
2;C7;Single_seed;Sterilized;Water;8;6E+07;7.77232170672292
2;C7;Single_seed;Sterilized;Water;9;5E+07;7.67760695272049
2;C7;Single_seed;Sterilized;Water;10;5E+07;7.72263392253381
2;C7;Single_seed;Sterilized;Water;11;3E+07;7.47712125471966
2;C7;Single_seed;Sterilized;Water;12;5E+07;7.70586371228392
3;C0;Single_seed;Unsterilized;Water;1;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Water;2;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Water;3;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Water;4;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Water;5;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Water;6;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Water;7;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Water;8;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Water;9;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Water;10;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Water;11;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Water;12;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;1;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;2;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;3;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;4;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;5;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;6;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;7;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;8;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;9;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;10;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;11;2E+01;1.30102999566398
3;C0;Single_seed;Unsterilized;Alginate;12;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;1;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;2;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;3;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;4;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;5;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;6;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;7;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;8;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;9;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;10;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;11;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Water;12;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;1;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;2;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;3;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;4;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;5;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;6;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;7;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;8;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;9;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;10;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;11;2E+01;1.30102999566398
3;C0;Single_seed;Sterilized;Alginate;12;2E+01;1.30102999566398
3;C5;Single_seed;Unsterilized;Water;1;1E+04;4.17026171539496
3;C5;Single_seed;Unsterilized;Water;2;2E+04;4.2148438480477
3;C5;Single_seed;Unsterilized;Water;3;4E+03;3.64345267648619
3;C5;Single_seed;Unsterilized;Water;4;2E+04;4.28330122870355
3;C5;Single_seed;Unsterilized;Water;5;1E+04;4.17026171539496
3;C5;Single_seed;Unsterilized;Water;6;1E+04;4.17026171539496
3;C5;Single_seed;Unsterilized;Water;7;3E+04;4.40823996531185
